308 Occurance | x = 1
1 Occurance | 3 x ^ { 2 } - 3 6 x
1 Occurance | q _ { 1 } \times q ^ { n - 1 } = 2 \times 2 ^ { n - 1 }
1 Occurance | e ^ { x } ( x + 2 ) + e ^ { x } = 0
1 Occurance | A E \cap C _ { 1 } E = E
1 Occurance | a + \bar { e }
1 Occurance | B C I P B
1 Occurance | \frac { y } { x } + \frac { 4 x } { y } \geqslant 1 2 \sqrt { \frac { y } { x } \cdot \frac { 4 x } { y } }
1 Occurance | b = 1 - a - c = \frac { 1 } { 3 }
1 Occurance | b = 8 , c = 8 , e = 2 0 \text { . }
1 Occurance | 1 f ^ { \prime } ( x ) = 3 x ^ { 2 } - 3 .
1 Occurance | \sin \theta = | \cos \langle \overrightarrow { A C } ; \vec { n } \rangle |
1 Occurance | A \subset C D
1 Occurance | \frac { L } { a } = \frac { \sqrt { 2 } } { 2 }
1 Occurance | 4 - \frac { \sqrt { 2 } } { 4 }
1 Occurance | \text { A : E I I C B D }
1 Occurance | 2 \vec { a } = 2 ( 2 , - 1 , - 2 )
1 Occurance | 1 6 - ( - 4 m ) \geqslant 0
1 Occurance | a \in \left( - \infty , \frac { - 1 } { e } \right)
1 Occurance | \sqrt { 3 + 4 } = \sqrt { 7 }
1 Occurance | c ^ { 2 } = t
1 Occurance | 4 + 2 x
1 Occurance | \ t h e r e f o r e P E \text { ( P C D } \ t h e r e f o r e P E L \text { } A B C D
1 Occurance | m \leq s l a n t \dot { \varphi }
1 Occurance | \frac { 1 } { 2 } l R ^ { \prime }
1 Occurance | a ^ { 2 } + b ^ { 2 } - c ^ { 2 } + 2 \pi 3 a b \sin c = 2 b ^ { 2 } + 4 b c
1 Occurance | D H \perp D C
1 Occurance | 2 - ( 2 + x ) e ^ { x }
1 Occurance | 0 0 \perp B A
1 Occurance | e - e
1 Occurance | 2 \sqrt { 1 9 }
1 Occurance | F B \text { | | } A E C
1 Occurance | \tan 3 0 \times a
1 Occurance | \frac { x } { a _ { 2 } } .
1 Occurance | C D ^ { 2 } = C N ^ { 2 } + D N ^ { 2 }
1 Occurance | S \triangle A C D = \frac { 1 } { 2 } A D \times C D \times \sin \frac { 2 \pi } { 3 } = \frac { 3 \sqrt { 3 } } { 2 }
1 Occurance | P ( Y = 0 ) = \frac { C _ { 2 0 } ^ { 0 } \cdot C _ { 1 0 } ^ { 2 } } { C _ { 4 0 } ^ { 2 } } = \frac { 1 9 } { 7 8 }
1 Occurance | - \frac { b } { 2 a } = - \frac { - 2 m } { 2 } = m \text { . }
1 Occurance | \frac { 3 } { \lambda _ { 3 } } + \cdots + \frac { m } { a _ { m } } = \frac { 3 } { 4 } + \frac { 4 } { 8 } + \frac { 5 } { 1 6 } + \cdots + \frac { m } { a _ { n } }
1 Occurance | O B \perp O C
1 Occurance | \left( \frac { 1 } { x } + \frac { 4 } { y } \right) ( x + y ) = 1 + \frac { y } { x } + \frac { 4 x } { y } + 4 \geqslant 5 + 2 \sqrt { 4 } = 9 .
1 Occurance | \sqrt { ( 2 \vec { a } + 3 b ) ^ { 2 } }
1 Occurance | A l = A E
1 Occurance | \frac { A C } { \sin B } = \frac { B C } { \sin \ a n g l e B C ^ { \circ } }
1 Occurance | \ a n g l e D A O + \ a n g l e O A E = 9 0 ^ { \circ } = \ a n g l e B A C
1 Occurance | 8 - x = y : 6
1 Occurance | f ^ { \prime } ( y ) = ( e + 2 a )
1 Occurance | C \triangle M N C = 2 0 + 4 0 + 2 0 \sqrt { 3 }
1 Occurance | \triangle A B E = \triangle D O C F
1 Occurance | A _ { 0 } = A R
1 Occurance | D E \| A , E
1 Occurance | a _ { 1 2 } - \frac { 1 } { 2 } a _ { 1 }
1 Occurance | \sqrt { 8 ^ { 2 } - 6 ^ { 2 } } = 2 \sqrt { 7 }
1 Occurance | \ a n g l e C F A = 9 0 ^ { \circ }
1 Occurance | x + 2 \sqrt { 2 } y = 0
1 Occurance | \frac { 6 } { 2 5 } + \frac { 3 } { 2 5 }
1 Occurance | 4 s _ { n + 1 } = a _ { n + 1 } ^ { 2 } + 4 n + 4 - 1
1 Occurance | 2 \sqrt { 2 } x = \sqrt { 3 } + 1
1 Occurance | \frac { 1 } { 2 } = \frac { D M } { 4 }
1 Occurance | S _ { \triangle } A C D = \frac { 1 } { 2 } A D - C D \cdot \sin D
1 Occurance | \frac { O Q } { O P } = \frac { O F } { O E } = \frac { 1 } { y + 1 }
1 Occurance | 0 \ a n g l e A < \pi
1 Occurance | 2 \sqrt { 3 } - 3
1 Occurance | s _ { n + 1 } = \frac { n ( 1 + 2 n + 1 ) ( n + 1 ) } { 2 } = ( n + 1 ) ^ { 2 }
1 Occurance | D ( 2 x - 1 ) = 2 ^ { 2 } \times \frac { 5 } { 4 } = \frac { 2 0 } { 9 } .
1 Occurance | 0 \langle \langle \vec { a } , \vec { b } \rangle \langle \pi
1 Occurance | m \geq 9
1 Occurance | 2 c - \frac { \pi } { 6 } .
1 Occurance | a = 0 . 1 - 0 . 0 1 0 - 0 . 0 1 2 - 0 . 0 2 8 - 0 . 0 3 0
1 Occurance | 6 < 4 x - x
1 Occurance | \vec { n } = ( a , b , c ) .
1 Occurance | \frac { A Z ^ { 2 } + B Z ^ { 2 } - A B ^ { 2 } } { 2 A Z \cdot B E }
1 Occurance | \overrightarrow { A _ { 1 } E } \perp \vec { a }
1 Occurance | | \vec { a } | = \sqrt { x ^ { 2 } + y ^ { 2 } }
1 Occurance | \sqrt { 2 0 } = 2 \sqrt { 5 }
1 Occurance | x _ { i } ^ { 2 } - 5 \bar { x } ^ { 2 }
1 Occurance | e ^ { x } + ( x - 2 ) e ^ { x } + 2 ( x - 1 )
1 Occurance | \left\{ \begin{array} { l } 3 k + b = 4 \\ 6 k + b = 2 \end{array} \right.
1 Occurance | P ( x = 0 ) = \frac { C _ { 3 } ^ { 0 } \cdot \left( \frac { 3 } { 4 } \right. } { c _ { 3 } } = \frac { 4 } { 3 5 }
1 Occurance | \frac { 8 } { 1 2 } = \frac { 2 } { 3 }
1 Occurance | ( 4 + \ a n g l e 2 ) - \ a n g l e A = 1 8 0 ^ { \circ }
1 Occurance | x - ( 3 4 - 3 x + 2 \times 1 ) = 1 1 0
1 Occurance | A _ { 4 } ^ { 4 } \cdot A _ { 5 } ^ { 2 } \cdot A _ { 4 } ^ { 2 } \cdot A _ { 3 } ^ { 1 } = 1 7 2 8 0
1 Occurance | \vec { m } \cdot \overrightarrow { B C } = 0
1 Occurance | \gamma _ { \text { } } = 2
1 Occurance | - \frac { x } { a }
1 Occurance | \ t h e r e f o r e \ a n g l e A E D = \ a n g l e A E C
1 Occurance | a e ^ { x } \cdot ( x + 2 )
1 Occurance | k _ { n } = b _ { n } ^ { 2 } + b _ { 3 } ^ { 2 } + \cdots + b _ { n } ^ { 2 }
1 Occurance | g ( x ) = \frac { a } { x } - \frac { a + 1 - x } { e ^ { x } }
1 Occurance | \tan x = \sqrt { 3 }
1 Occurance | \left\{ a _ { 1 } , a _ { 2 } \right\}
1 Occurance | D ( 2 x - 1 ) = \frac { 5 6 } { 2 7 }
1 Occurance | - 1 + \frac { 7 } { 3 } \times \frac { 1 5 } { 7 }
1 Occurance | ( 6 - x ) ^ { 2 }
1 Occurance | 3 6 - 2 5 - x ^ { 2 } + 1 0 x = 2 5 - x ^ { 2 }
1 Occurance | P D \cap D A = D
1 Occurance | \frac { x } { 2 } = \frac { 2 - 2 \pi R } { 2 }
1 Occurance | \overrightarrow { C _ { 1 } A _ { 1 } } = ( 1 , 0 , 0 )
1 Occurance | 0 . 0 1 + 0 . 0 1 2 + 0 . 0 2 8
1 Occurance | c ^ { \prime } = \sqrt { 1 0 }
1 Occurance | \left. P _ { 1 9 0 } < x < 1 2 0 \right)
1 Occurance | 3 D = 4 D C
1 Occurance | \ a n g l e 6 = \ a n g l e 2
1 Occurance | B G \perp P D
1 Occurance | p _ { 2 } = \frac { 2 } { J }
1 Occurance | \left. A _ { 4 } ^ { 4 } \cdot C \right\} \cdot A _ { 3 } ^ { 3 }
1 Occurance | A C = B C = P A = 2 \text { . }
1 Occurance | a _ { n + 1 } = - 2 ( n + 1 ) - 1
1 Occurance | \cos \theta = \cos \langle \vec { m } , \vec { n } \rangle = \frac { \vec { m } \cdot \vec { n } } { | \vec { m } | | \vec { n } | } = \frac { 2 } { 3 }
1 Occurance | - \frac { 2 n - 1 + 1 } { 2 }
1 Occurance | B O = C O
1 Occurance | C M ^ { 2 } = A C ^ { 2 } + A M ^ { 2 }
1 Occurance | \vec { n } = ( 2 \sqrt { 2 } , 1 , 0 )
1 Occurance | 1 8 0 ^ { \circ } - 2 x .
1 Occurance | \vec { n } _ { 2 } = \left( 1 , 2 T _ { 2 } , 0 \right)
1 Occurance | \overrightarrow { C E } = a + \sqrt { B E }
1 Occurance | 2 F \| B C
1 Occurance | D O = 1 0 0
1 Occurance | 0 , 5 - ( 0 , 0 1 + 0 , 0 7 ) \times 5 = 0 , 1
1 Occurance | a _ { n } = 2 a _ { n - 1 } .
1 Occurance | ( n + 1 ) 2
1 Occurance | e ^ { - \frac { 1 } { 2 } } + a \ln - \frac { 1 } { 2 } + a > 0
1 Occurance | \frac { \sin \left( A ^ { \prime } \mid B \right) } { 2 }
1 Occurance | S _ { \triangle P F } = \frac { \sqrt { 1 5 } } { 2 }
1 Occurance | 0 \times \frac { 1 9 } { 7 8 } + 1 \times \frac { 2 0 } { 3 9 }
1 Occurance | x ^ { 2 } - 6 \sqrt { 2 } x + 1 8
1 Occurance | 4 \vec { b } ^ { 2 } - 1 2 \vec { a } \cdot \vec { b }
1 Occurance | 4 \ a n g l e X
1 Occurance | x _ { 1 } + x _ { 2 } + p = \frac { 8 } { 3 } p
1 Occurance | P ( y = 0 ) = \frac { C _ { 1 8 } ^ { 2 } } { C _ { 4 0 } ^ { 2 } }
1 Occurance | 6 0 \sqrt { 2 }
1 Occurance | P = E
1 Occurance | 1 4 5 \times 1 0 \ %
1 Occurance | 3 0 - \sqrt [ 2 ] { 6 x y }
1 Occurance | \frac { 4 \sqrt { 3 9 } } { 3 }
1 Occurance | 1 + 2 = 3
1 Occurance | \ a n g l e O E F = 6 0 ^ { \circ }
1 Occurance | 1 - 3 m ^ { 2 } - 2 m \leq 0
1 Occurance | D O = B O
1 Occurance | S _ { 1 } + S _ { 2 } = 0 . 4
1 Occurance | A C ^ { 2 } = A D ^ { 2 } + D C ^ { 2 } - 2 A D D C C \cos D
1 Occurance | \frac { A E } { A B } = \frac { A P } { A C }
1 Occurance | D M = \frac { 1 } { 2 } P A
1 Occurance | 2 K = 1 2
1 Occurance | A = \frac { \pi } { 3 } = 6 0 ^ { \circ } .
1 Occurance | 5 0 - 7 . 5 \times 5 = 1 2 . 5
1 Occurance | 1 + 2 x = 2 - x
1 Occurance | a = 2 R \sin A = 2
1 Occurance | 4 \left( 1 - a ^ { 2 } \right) \geqslant 0
1 Occurance | \text { P D } A D = D
1 Occurance | f ( 1 ) = 2 + e > 0
1 Occurance | \frac { 1 - \cos C } { 2 }
1 Occurance | A C ^ { 2 } + B C ^ { 2 } = A B ^ { 2 } .
1 Occurance | ( 2 5 - 3 ) \times 1
1 Occurance | A \ v a r s u b s e t n e q q B .
1 Occurance | \ a n g l e D K B = 3 0 ^ { \circ }
1 Occurance | \ a n g l e 1 = \ a n g l e 2 \text { . }
1 Occurance | T = \frac { 2 \pi } { 2 }
1 Occurance | \sqrt { \overrightarrow { \vec { A } _ { 1 } D ^ { 2 } } + \left( \vec { n } \cdot \overrightarrow { A _ { 1 } B } \right) ^ { 2 } } = \sqrt { 2 } .
1 Occurance | C _ { 1 } ( 0 , 0 , 2 ) , D ( 1 , 0 , 1 )
1 Occurance | \hat { y } = 1 1 . 5 x - 2 . 5
1 Occurance | \overrightarrow { B E } ( 0 , 1 , 0 )
1 Occurance | B D _ { 1 } / / \text { } A C E
1 Occurance | 1 \psi \psi + 1 0 0 + 1 0 0 0
1 Occurance | x _ { 1 } = - 2 + 3
1 Occurance | \sin x - \cos x - x > b
1 Occurance | | A | > = 2
1 Occurance | \frac { X _ { B } + X _ { A } } { 2 } = - 1
1 Occurance | 1 \text { A N O } ( 1 + x ) ^ { 2 } = 1 4 4 0
1 Occurance | \sqrt [ 2 ] { x - \frac { 3 0 } { x } }
1 Occurance | \frac { 4 a \left( - b ^ { 2 } \right. } { 4 a } = - 2 .
1 Occurance | \overrightarrow { A N } = \left( \frac { 1 } { 2 } , \sqrt { 2 } , \frac { 1 } { 2 } \right) .
1 Occurance | \sqrt { ( 2 a + 3 b ) ^ { 2 } } = | 2 \vec { a } + 3 \vec { b } |
1 Occurance | \widehat { y } = 8 6
1 Occurance | \left\{ \begin{array} { l } { - \sqrt { 3 } x = 0 } \\ { - \sqrt { 3 } x + y - 2 z = 0 } \end{array} \Rightarrow \left\{ \begin{array} { l } \pi = 0 \\ y = 2 z \end{array} \right. \right.
1 Occurance | \frac { a } { \sin A } = \frac { \sin C } { \sin }
1 Occurance | - 3 < a \leq 0
1 Occurance | \sqrt { 3 } \lambda x + ( 2 - \lambda ) y
1 Occurance | f ( c ) = \sin \left( 2 C - \frac { \pi } { 6 } \right) + 1
1 Occurance | \cos \langle \vec { m } , \overrightarrow { A D } \rangle
1 Occurance | D A = 2 P D = 2 \times \frac { 7 } { 5 } = \frac { 1 4 } { 5 }
1 Occurance | D D ^ { 2 } = C D ^ { 2 } + A D ^ { 2 }
1 Occurance | \overrightarrow { C F } = ( 0 . 2 . 1 )
1 Occurance | 2 \sin \left( \begin{array} { c } \pi \\ ( A - 3 ) \end{array} = 0 \right.
1 Occurance | a ( \ln x - x ) \neq - \frac { x } { e ^ { x } }
1 Occurance | 1 + 2 x = \lambda
1 Occurance | \sin \theta = | \cos \langle \vec { m } , \vec { A } C \rangle |
1 Occurance | \frac { 2 4 + b ^ { 2 } - 9 } { 4 \sqrt { 6 } b }
1 Occurance | \text { C . } c = 6 0 ^ { \circ }
1 Occurance | D M \| B C
1 Occurance | \left[ \bar { E } \left( x ^ { 2 } \right) - E ( x ) ^ { 2 } \right]
1 Occurance | a = \frac { 2 } { 3 }
1 Occurance | \ a n g l e D H F = \ a n g l e B G E
1 Occurance | A _ { 4 } ^ { 4 } \times A _ { 5 } ^ { 3 }
1 Occurance | A D I H M E
1 Occurance | A B = \sqrt { A L ^ { 2 } + B C ^ { 2 } }
1 Occurance | 1 6 x = 5 6
1 Occurance | \vec { C } = ( 0 , 2 , 1 )
1 Occurance | A C = 1 B C = P A
1 Occurance | A E = C E .
1 Occurance | \sqrt { 2 ^ { 2 } + \left( \frac { 1 } { 2 } \times 2 \sqrt { 3 } \right) ^ { 2 } } = \sqrt { 7 }
1 Occurance | . b = 4
1 Occurance | E ( x ) = - 1 \times \frac { 1 } { 6 } + 0 \times \frac { 1 } { 3 } + \frac { 1 } { 2 } \times 1 = \frac { 1 } { 3 }
1 Occurance | \frac { 6 } { 6 \sqrt { 5 } }
1 Occurance | B C ^ { 2 } = C E : C P
1 Occurance | \ a n g l e A + \ a n g l e B + \ a n g l e C = 1 8 0 ^ { \circ }
1 Occurance | c Q = ( 8 - 2 t ) \mathrm { c m }
1 Occurance | \hat { a } = \bar { y } - \hat { b } \bar { x } = 2 8 . 2 5
1 Occurance | \text { E E } 2
1 Occurance | A x - \frac { 1 } { 2 } A y - \frac { 3 } { 2 } A = 0
1 Occurance | y ^ { 2 } = - 2 p x
1 Occurance | \ a n g l e C O B = 2 \ a n g l e C A B
1 Occurance | z _ { 2 } = m - 2 1
1 Occurance | A , A / / B B _ { 1 }
1 Occurance | a > 2 x - ( x + 1 ) \cdot e ^ { x }
1 Occurance | \frac { A C ^ { 2 } + A D ^ { 2 } - C D ^ { 2 } } { 2 A C - A D }
1 Occurance | x ^ { 2 } + y ^ { 2 } + x ^ { 2 } + y ^ { 2 } = 1
1 Occurance | 4 5 n - 4 5 n - 1 = a n ^ { 2 } - a n y ^ { 2 } + 4
1 Occurance | \frac { 4 } { 7 }
1 Occurance | \bar { x } = 8 8
1 Occurance | m _ { 2 } = - \frac { 1 } { 3 }
1 Occurance | 2 2 \times 2 . 6
1 Occurance | x + \frac { e x } { x }
1 Occurance | \overrightarrow { C E } = \lambda \overrightarrow { P B }
1 Occurance | \overrightarrow { P A } = ( 0 . 0 . 3 )
1 Occurance | c ^ { 2 } = ( a + b ) ^ { 2 } - 2 a b - a b
1 Occurance | - \left( \frac { 1 } { x } - 1 \right) > 0
1 Occurance | \frac { 4 } { 3 } - \frac { 4 } { 3 } = 0
1 Occurance | = a \ln x - a x
1 Occurance | 2 ^ { 2 } , 7
1 Occurance | B C = \frac { 4 } { 3 }
1 Occurance | a \leq s l a n t 1 6 \text { . }
1 Occurance | F = ( 2 , 1 . 0 )
1 Occurance | \frac { 1 } { 2 } P ^ { 2 }
1 Occurance | P B ^ { 2 } = P C ^ { 2 } - B C ^ { 2 }
1 Occurance | 2 x ^ { 2 } - 5 x 4
1 Occurance | \begin{array} { c } = b + 2 \\ \frac { b + 2 c } { a } \end{array}
1 Occurance | \ a n g l e C A A _ { 1 } = 9 0 ^ { \circ } .
1 Occurance | 5 x y + 2 y ^ { 2 } - x ^ { 2 }
1 Occurance | 3 x = \sqrt { 3 } z
1 Occurance | A \xi = 6 0
1 Occurance | \frac { 1 } { x } + \frac { y } { y } = \left( \frac { 1 } { x } + \frac { 4 } { y } \right) ( x + y ) = 1 + 4 + \frac { y } { x } + \frac { 4 x } { y } \geqslant 5 + 2 \sqrt { \frac { y } { x } \cdot \frac { 4 x } { y } } = 9
1 Occurance | \sqrt { 3 } \sin A \sin c
1 Occurance | \frac { 1 2 0 0 } { x } + 1 0 0 0 + 2 x \geqslant 1 2 4 0 .
1 Occurance | C D \b e c a u s e A B .
1 Occurance | \frac { 4 - \sqrt { 2 } } { 4 }
1 Occurance | P ( 7 5 \leq s l a n t x < 8 5 )
1 Occurance | P A \perp A Q
1 Occurance | b \d i v 3
1 Occurance | a \leq s l a n t 5 0
1 Occurance | \frac { 1 } { a } < - 1
1 Occurance | \ a n g l e D B E = \ a n g l e D B A + \ a n g l e A B E = 4 5 ^ { \circ } .
1 Occurance | A F = E F = \frac { 1 } { 2 } A E
1 Occurance | a _ { n } = - \frac { n + 1 } { 2 } - \frac { n } { 2 } = - \frac { 1 } { 2 }
1 Occurance | 7 . 4 \times 1 0 0 \ % = 2 4 0 \ %
1 Occurance | | \vec { b } | = \sqrt { 1 + 1 } = \sqrt { 2 }
1 Occurance | a = \pm 1 + 5
1 Occurance | A C \| D F .
1 Occurance | 2 x + \frac { 7 2 } { x } \geqslant 2 \sqrt { 2 x \cdot \frac { 7 2 } { x } }
1 Occurance | a + 1 \leq 9 \text { . }
1 Occurance | 1 2 - 3 x \geqslant 2
1 Occurance | m > - 7
1 Occurance | P ( \text { } ) = \frac { 4 } { 1 2 } = \frac { 1 } { 3 }
1 Occurance | P ( 1 1 5 \leq s l a n t x \leq s l a n t 1 2 5 )
1 Occurance | - a ^ { 2 } + 4 0 a + 2 4 = 3 0 a
1 Occurance | \text { P H } \perp A H
1 Occurance | - \frac { 3 \sqrt { 1 3 } } { 1 3 }
1 Occurance | 1 0 . 0 1 \times 1 0
1 Occurance | \tan 3 0 ^ { \prime } = \frac { \sqrt { 3 } } { 3 }
1 Occurance | \mid \vec { a } ) | - | \vec { b } |
1 Occurance | 2 0 0 = \frac { x } { 0 . 0 5 }
1 Occurance | \sin ^ { \prime } l \neq 0
1 Occurance | a = 1 - ( 0 . 0 1 + 0 . 0 2 + 0 . 0 6 + 0 . 0 7 )
1 Occurance | C \triangle O A B C = 2 A O + 2 O C
1 Occurance | 3 a + 2 b
1 Occurance | \left( \frac { 3 p } { 2 } \right) ^ { 2 } = \left( \frac { p } { 2 } \right) ^ { 2 } + 4
1 Occurance | \left\{ b _ { n } \right\} = 2 , 4 , 6 , 8 , 1 0 , 1 2 , 1 4 \ldots 2 n
1 Occurance | 3 b x - 4 x ^ { 2 } = 9 b
1 Occurance | \frac { ( x + 1 ) ( x - 2 ) } { x - 2 }
1 Occurance | \frac { 1 0 } { 1 5 } - \frac { 3 } { 1 5 }
1 Occurance | ( 0 . 0 1 0 + 0 . 0 1 2 + a + 0 . 0 2 8 + 0 . 0 3 0 ) \times 1 0 = 1
1 Occurance | \ a n g l e P D C = 9 0 ^ { \circ }
1 Occurance | K ( x ) = ( x + 2 ) e ^ { x } - 2
1 Occurance | P = 0 . 2 \times 0 . 4 + 0 . 5 \times 0 . 2 + 0 . 2 \times 0 . 6 + 0 . 1 \times 0 . 2 = 0 . 3 2
1 Occurance | \triangle D \perp B D
1 Occurance | 1 - \frac { 1 } { 2 }
1 Occurance | ( 1 + x ) ^ { 2 } = 1 . 4 \varphi
1 Occurance | \frac { x B - x A } { 2 } = \frac { 2 - D } { 2 } = 1
1 Occurance | x e ^ { x } + 2 a ( x - 1 ) = 0
1 Occurance | A C 1 C D
1 Occurance | \frac { 6 0 + 6 5 } { 2 } = 6 2 . 5
1 Occurance | A O = \frac { 1 } { 2 } A E
1 Occurance | a ^ { 2 } = b ^ { 2 } + c ^ { 2 } - 2 a c \cos A
1 Occurance | a > 0 .
1 Occurance | \frac { 4 } { \sqrt { \mid + 1 } \cdot \sqrt { 2 + 1 6 } }
1 Occurance | A B \cong D C
1 Occurance | y _ { A } = 4
1 Occurance | 2 y + 7
1 Occurance | 2 a ^ { - 1 } - b ^ { - 1 } = ( 2 , 4 , - 2 y ) - ( x , 1 , 2 )
1 Occurance | B C \ & \text { } P C D
1 Occurance | 3 9 a \times 0 . 7 5
1 Occurance | \frac { 1 } { 6 } + c = \frac { 2 } { 3 }
1 Occurance | = \frac { A B ^ { 2 } + B D ^ { 2 } - A D ^ { 2 } } { 2 A B \cdot B D }
1 Occurance | \frac { a } { \sin A } = \frac { b } { \sin 3 } = \frac { c } { \sin C }
1 Occurance | \frac { 1 } { e ^ { x } }
1 Occurance | S _ { 2 n } - S _ { n } = \frac { - 2 n + 1 } { 2 } + \frac { n + 1 } { 2 }
1 Occurance | x = \sqrt { 3 } \cdot a \text { . }
1 Occurance | P C = \tan \ a n g l e P B C = \tan \ a n g l e P A C = \sqrt { 3 }
1 Occurance | A O = f - x
1 Occurance | \frac { \dot { r } } { R } = k
1 Occurance | D A \| C B
1 Occurance | ( 3 \sqrt { 3 } )
1 Occurance | \frac { \frac { 2 \sqrt { 6 } } { 2 } } { \frac { 2 \sqrt { 2 } } { 3 } }
1 Occurance | \frac { 1 } { 4 } \cdot 0 + \frac { 1 } { 2 } + \frac { 1 } { 4 } \cdot 2 = 1
1 Occurance | \frac { 4 } { 1 0 } + \frac { 2 } { 1 0 0 } + b
1 Occurance | x + \sqrt { 3 } y = 0
1 Occurance | \ a n g l e L = \ a n g l e A E D
1 Occurance | A C - A E
1 Occurance | \overrightarrow { A C } = ( 0 , 0 , - 2 )
1 Occurance | ( 2 + \sqrt { 3 } ) x ^ { 2 } = 2 ( 2 + \sqrt { 3 } )
1 Occurance | y = f \left( k x ^ { 2 } - 1 \right) .
1 Occurance | \frac { \frac { a n + 1 } { 2 n + 1 } } { \frac { a n } { 2 n - 1 } } = \frac { 1 } { 2 }
1 Occurance | 0 . 4 + 0 . 0 6 ( x - 5 5 ) = 0 . 5
1 Occurance | 1 2 \times ( 1 0 + 2 ) = 1 4 4
1 Occurance | \overrightarrow { B P } = ( - 2 , 0 , z )
1 Occurance | \left. \frac { 1 } { 2 } \right) ^ { n + 1 } ( 2 n - 1 )
1 Occurance | - 3 a ^ { 2 } x \ln x
1 Occurance | m ( B - A ) = \frac { 1 } { 2 }
1 Occurance | \frac { 1 0 0 0 0 } { 1 0 0 } = 1 0 0
1 Occurance | \ a n g l e B C D = \ a n g l e B A D \text { , }
1 Occurance | ( 1 + 2 0 \ % ) ^ { 3 }
1 Occurance | x ^ { 2 } + 2 = 2 C ^ { 2 }
1 Occurance | D = ( 2 , 2 \sqrt { 2 } , 0 )
1 Occurance | \frac { \sqrt { 5 } - 1 } { 2 }
1 Occurance | \cos \ a n g l e A D B = - \cos \ a n g l e A D C
1 Occurance | 2 x ^ { 2 } - 5 x y + 2 y ^ { 2 } - x ^ { 2 } - x
1 Occurance | A O = B O = 5
1 Occurance | \ a n g l e D B C = \ a n g l e C B P = 9 0 ^ { \circ }
1 Occurance | - \frac { b } { 2 a } = - \frac { - 2 m } { 2 \times 1 } = - \frac { - 2 m } { 2 } = m
1 Occurance | \frac { 1 - 0 . 0 1 \times 5 - 0 . 0 2 \times 5 - 0 . 0 6 \times 5 - 0 . 0 7 \times 5 } { 5 } = 0 . 0 4
1 Occurance | F ^ { \prime } ( x ) = e ^ { x } ( x + 1 ) - \frac { 1 } { x } - 1
1 Occurance | \frac { 1 } { 2 } + \frac { m } { 2 }
1 Occurance | - \cos A \sin B
1 Occurance | 3 x = 2 + y
1 Occurance | \frac { 1 + 3 x } { x ( 1 - x ) }
1 Occurance | - 1 - 3 \times 1 - 9 \times ( - 1 ) + 2
1 Occurance | 1 0 \times 0 . 0 1 0 + 1 0 \times 0 . 0 1 2 + 1 0 a + 1 0 \times 0 . 0 2 8 + 1 0 \times 0 . 0 3 0
1 Occurance | k ( x - 2 ) + 2
1 Occurance | m < - x
1 Occurance | \ a n g l e + \ a n g l e A B C = 9 0 ^ { \circ }
1 Occurance | \cos \langle \vec { a } \cdot \vec { b } \rangle = \frac { \vec { a } \cdot \vec { b } } { | \vec { a } | \cdot | \vec { b } | } = \frac { q } { q \sqrt { 2 } } = \frac { \sqrt { 2 } } { 2 }
1 Occurance | E F \ B C
1 Occurance | x - 4 x < - 6
1 Occurance | \frac { 2 ( \sqrt { 3 } + 1 ) } { 3 }
1 Occurance | \bar { x } = ( 2 + 4 + 5 + 6 + 8 ) \times \frac { 1 } { 5 } = 5
1 Occurance | F \cap = F C
1 Occurance | \ a n g l e D A C = \ a n g l e E A C
1 Occurance | 4 x < 6
1 Occurance | g ( x ) = x ^ { 2 } - a ^ { 2 } x - a x + a ^ { 3 }
1 Occurance | \vec { n } = ( 0 , 0 . 1 )
1 Occurance | ( 0 , - 1 ; 0 )
1 Occurance | x ^ { 2 } x ^ { 2 } + ( 4 - 2 \sqrt { 2 } ) x + 4 = 0
1 Occurance | \frac { 2 } { a ^ { 2 } } = 1 .
1 Occurance | M _ { 1 } = 1 2
1 Occurance | \frac { C D } { A B }
1 Occurance | | \overrightarrow { 3 a } - 2 \vec { b } | = \sqrt { 7 }
1 Occurance | A C D \text { B D P }
1 Occurance | e ^ { x } = - e ^ { x } ( x + 2 ) .
1 Occurance | - y ^ { 2 } = 2 p x = \sqrt { 2 } x .
1 Occurance | N O \| P C
1 Occurance | \o p e r a t o r n a m e { C O S } \ a n g l e A D B
1 Occurance | 2 5 - x ^ { 2 } + ( 5 - x ) ^ { 2 } = 6 ^ { 2 }
1 Occurance | \overrightarrow { n _ { l } } \cdot \overrightarrow { p c } = 0
1 Occurance | K E = A E
1 Occurance | A D =
1 Occurance | \overrightarrow { A E } = \frac { 2 } { 3 } \overrightarrow { A B } = \frac { 4 } { 3 } \vec { b } - \frac { 2 } { 3 } \vec { a }
1 Occurance | 6 . 6 3 5 < 8 . 5 7 1 < 1 0 . 8 2 8
1 Occurance | x - 3 = A D
1 Occurance | A F = F E = F L
1 Occurance | x = \pm 1 7 - 1
1 Occurance | \ a n g l e E A N = 9 0 ^ { \circ }
1 Occurance | \ a n g l e 2 + \ a n g l e 3 =
1 Occurance | \mathrm { A } ^ { 2 }
1 Occurance | a _ { n } = ( 2 x - 1 ) \left( \frac { 1 } { 2 } \right) ^ { n }
1 Occurance | 2 0 \times \frac { 0 . 9 5 - 0 . 9 } { 0 . 9 5 - 0 . 7 5 }
